"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"227","Josh Reynolds","LA","wr","9","DAL","5.9","0","0","0","0","0","0","0","0.1969","1.2225","0.0081","3.0658","1.8818","27.7465","0.1696","0.0163","0.0081","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","Olabisi Johnson","MIN","wr","7","GB","5.9","4100","0","0","0","0","0","0","0","0","0","3.256","2.185","27.8302","0.1536","0.0209","0.0104","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"229","Bryce Love","WAS","rb","8","PHI","3.7","4000","0","0","0","0","0","0","4.012","16.9213","0.1299","0.749","0.6041","4.7845","0.019","0.0408","0.0204","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","Scotty Miller","TB","wr","13","@NO","5.8","4000","0","0","0","0","0","0","0","0","0","3.4338","2.1884","27.1148","0.1374","0.0469","0.0235","0.0065","13.3937","0.0123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Ryan Griffin","NYJ","te","11","@BUF","4.1","3400","0","0","0","0","0","0","0","0","0","2.3151","1.5593","15.0926","0.1623","0.0134","0.0067","0.0065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Will Dissly","SEA","te","6","@ATL","4.1","3400","0","0","0","0","0","0","0","0","0","1.99","1.4215","17.0775","0.158","0.0173","0.0086","0.0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Kyle Juszczyk","SF","rb","11","ARZ","3.5","4000","0","0","0","0","0","0","0.131","0.5249","0.0042","1.7988","1.4002","15.3265","0.0826","0.0186","0.0093","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Bryan Edwards","LV","wr","6","@CAR","5.6","4200","0","0","0","0","0","0","0","0","0","3.4345","2.1426","24.8843","0.1504","0.0225","0.0112","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","David Njoku","CLV","te","9","@BLT","3.9","3600","0","0","0","0","0","0","0","0","0","2.0904","1.3738","15.956","0.1446","0.0119","0.0059","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","Dion Lewis","NYG","rb","11","PIT","3.4","0","0","0","0","0","0","0","1.7066","6.6027","0.0283","1.6875","1.4063","9.3008","0.0291","0.0239","0.0119","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"237","Michael Pittman Jr.","IND","wr","7","@JAX","5.5","4400","0","0","0","0","0","0","0","0","0","3.2497","1.9872","25.3187","0.1553","0.0208","0.0104","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Marquez Valdes-Scantling","GB","wr","5","@MIN","5.5","4100","0","0","0","0","0","0","0","0","0","3.0867","1.785","27.7337","0.1389","0.0145","0.0072","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"239","Darwin Thompson","KC","rb","10","HST","3.3","0","0","0","0","0","0","0","1.7548","7.4153","0.0672","1.3493","1.0836","8.5064","0.0417","0.0241","0.0121","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","Equanimeous St. Brown","GB","wr","5","@MIN","5.4","3500","0","0","0","0","0","0","0.0626","0.4257","0.0021","3.0867","1.9194","26.0609","0.1297","0.0191","0.0095","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","Brian Hill","ATL","rb","10","SEA","3.2","4000","0","0","0","0","0","0","3.4462","14.7967","0.0777","0.7222","0.5813","5.0757","0.0288","0.0367","0.0183","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"242","Jaylen Samuels","PIT","rb","8","@NYG","3.2","0","0","0","0","0","0","0","2.013","7.8347","0.0467","1.3638","1.1247","7.6224","0.0316","0.0257","0.0128","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"243","Antonio Gandy-Golden","WAS","wr","8","PHI","5.3","4000","0","0","0","0","0","0","0","0","0","2.9962","1.8236","25.0496","0.1603","0.0191","0.0096","0.0054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","Auden Tate","CIN","wr","9","LAC","5.3","3800","0","0","0","0","0","0","0","0","0","3.4464","1.8384","26.1417","0.1351","0.024","0.012","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","Stephen Anderson","LAC","te","10","@CIN","3.6","2500","0","0","0","0","0","0","0","0","0","1.9046","1.3108","14.2447","0.1454","0.0135","0.0068","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"246","Jakeem Grant","MIA","wr","11","@NE","5.2","3900","0","0","0","0","0","0","0.5591","3.3645","0.0203","3.1324","1.9963","20.3382","0.0842","0.0727","0.0363","0.0064","62.8763","0.0394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"247","Jaeden Graham","ATL","te","10","SEA","3.5","2900","0","0","0","0","0","0","0","0","0","1.7695","1.3005","15.0191","0.1082","0.0132","0.0066","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"248","Sam Darnold","NYJ","qb","11","@BUF","13.1","5500","17.3753","30.8133","192.6682","1.139","1.0857","2.3306","3.0518","8.624","0.128","0","0","0","0","0.4813","0.2407","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Damiere Byrd","NE","wr","6","MIA","5.1","3200","0","0","0","0","0","0","0","0","0","2.6243","1.8589","22.2209","0.1478","0.0777","0.0388","0.0042","48.7778","0.0278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","Tim Patrick","DEN","wr","8","TEN","5.1","0","0","0","0","0","0","0","0","0","0","3.0602","1.8047","25.3851","0.1253","0.0305","0.0153","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"251","James Washington","PIT","wr","8","@NYG","5.1","0","0","0","0","0","0","0","0","0","0","3.0004","1.7006","25.4263","0.134","0.0202","0.0101","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"252","Miles Boykin","BLT","wr","8","CLV","5.1","4100","0","0","0","0","0","0","0.1474","1.0355","0.007","2.9657","1.6975","23.8114","0.1401","0.0176","0.0088","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Anthony Firkser","TEN","te","7","@DEN","3.4","0","0","0","0","0","0","0","0","0","0","1.7344","1.1907","14.176","0.1244","0.0113","0.0057","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","Nelson Agholor","LV","wr","6","@CAR","5","3800","0","0","0","0","0","0","0","0","0","3.1223","2.0803","21.1087","0.1361","0.0334","0.0167","0.0091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Ricky Seals-Jones","KC","te","10","HST","3.3","0","0","0","0","0","0","0","0","0","0","1.6866","1.051","13.9625","0.1463","0.0093","0.0047","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","Jace Sternberger","GB","te","5","@MIN","3.3","3600","0","0","0","0","0","0","0","0","0","1.7148","1.2268","14.1717","0.1087","0.0126","0.0063","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"257","Dalton Keene","NE","te","6","MIA","3.3","3000","0","0","0","0","0","0","0","0","0","1.6402","1.173","13.2747","0.1244","0.0121","0.0061","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","Gunner Olszewski","NE","wr","6","MIA","4.9","3000","0","0","0","0","0","0","0","0","0","2.6243","1.6922","22.8575","0.1463","0.0176","0.0088","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Jesse James","DET","te","5","CHI","3.2","3200","0","0","0","0","0","0","0","0","0","1.726","1.2316","13.3792","0.0935","0.0111","0.0055","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","James O'Shaughnessy","JAX","te","7","IND","3.2","3000","0","0","0","0","0","0","0","0","0","1.6817","1.2311","11.8336","0.124","0.0116","0.0058","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Carlos Hyde","SEA","rb","6","@ATL","2.6","4600","0","0","0","0","0","0","3.4088","12.9905","0.1007","0.4549","0.3689","2.2397","0.0136","0.0475","0.0238","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Maxx Williams","ARZ","te","8","@SF","3","3100","0","0","0","0","0","0","0","0","0","1.5281","1.1755","12.1893","0.0994","0.0113","0.0057","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Harrison Bryant","CLV","te","9","@BLT","3","2700","0","0","0","0","0","0","0","0","0","1.608","1.0649","12.3983","0.106","0.011","0.0055","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Chris Manhertz","CAR","te","13","LV","2.9","2700","0","0","0","0","0","0","0","0","0","1.5777","1.1188","12.2278","0.0934","0.0114","0.0057","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Mike Davis","CAR","rb","13","LV","2.4","4000","0","0","0","0","0","0","2.21","8.4967","0.063","0.7888","0.6419","4.4563","0.0169","0.0189","0.0094","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"266","Royce Freeman","DEN","rb","8","TEN","2.4","0","0","0","0","0","0","0","1.8612","7.5127","0.0573","0.8053","0.6506","4.9513","0.0181","0.0162","0.0081","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"267","Lynn Bowden Jr.","MIA","rb","11","@NE","2.4","4200","0","0","0","0","0","0","0.4473","1.8112","0.0121","1.3783","1.059","8.999","0.0285","0.0143","0.0072","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"268","Ted Ginn Jr.","CHI","wr","11","@DET","4.5","3700","0","0","0","0","0","0","0","0","0","2.6638","1.5236","21.073","0.1358","0.0236","0.0118","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"269","Tee Higgins","CIN","wr","9","LAC","4.5","4400","0","0","0","0","0","0","0","0","0","2.5691","1.5342","21.6903","0.1239","0.0161","0.008","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"270","Patrick Ricard","BLT","rb","8","CLV","2.3","4000","0","0","0","0","0","0","0","0","0","1.4828","1.1781","9.31","0.029","0.0116","0.0058","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","Kenny Stills","HST","wr","8","@KC","4.4","0","0","0","0","0","0","0","0","0","0","2.2374","1.4451","21.2908","0.1269","0.0116","0.0058","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","Devontae Booker","LV","rb","6","@CAR","2.2","4000","0","0","0","0","0","0","2.0071","7.7772","0.0593","0.7181","0.556","4.4823","0.0151","0.0235","0.0117","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Peyton Barber","WAS","rb","8","PHI","2.2","4000","0","0","0","0","0","0","2.2289","8.4327","0.0718","0.5992","0.4824","3.5535","0.016","0.0175","0.0088","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"274","Joshua Kelley","LAC","rb","10","@CIN","2.2","4300","0","0","0","0","0","0","3.6363","14.8765","0.1171","0","0","0","0","0.0316","0.0158","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","Mike Boone","MIN","rb","7","GB","2.2","4000","0","0","0","0","0","0","0.9616","3.8851","0.028","0.9768","0.7897","6.2425","0.0304","0.0149","0.0075","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","Drew Sample","CIN","te","9","LAC","2.6","3100","0","0","0","0","0","0","0","0","0","1.3786","0.946","10.7261","0.0925","0.0097","0.0048","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"277","Adam Trautman","NO","te","6","TB","2.6","2500","0","0","0","0","0","0","0","0","0","1.2923","0.9438","10.971","0.0897","0.0097","0.0049","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","Myles Gaskin","MIA","rb","11","@NE","2.1","4000","0","0","0","0","0","0","2.0574","7.8343","0.0531","0.6578","0.5174","3.9093","0.0121","0.0218","0.0109","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"279","Jason Witten","LV","te","6","@CAR","2.5","3200","0","0","0","0","0","0","0","0","0","1.3738","1.0264","8.8836","0.0942","0.0117","0.0058","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280","Dalton Schultz","DAL","te","10","@LA","2.5","0","0","0","0","0","0","0","0","0","0","1.3328","0.9516","10.4278","0.0818","0.0094","0.0047","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"281","Chris Hogan","NYJ","wr","11","@BUF","4.1","0","0","0","0","0","0","0","0","0","0","2.8939","1.6015","19.4511","0.0947","0.0141","0.0071","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"282","Tre'Quan Smith","NO","wr","6","TB","4.1","4000","0","0","0","0","0","0","0.0485","0.3361","0.002","1.9744","1.3174","19.0222","0.1388","0.0119","0.006","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"283","C.J. Ham","MIN","rb","7","GB","1.9","4000","0","0","0","0","0","0","0.4568","1.7234","0.0118","0.9768","0.7748","6.4607","0.0361","0.0105","0.0052","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"284","Cordarrelle Patterson","CHI","wr","11","@DET","4","3400","0","0","0","0","0","0","1.4269","9.6474","0.0552","1.4984","1.07","9.5843","0.0594","0.0738","0.0369","0.0035","98.6276","0.0486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"285","Nick Vannett","DEN","te","8","TEN","2.3","0","0","0","0","0","0","0","0","0","0","1.2885","0.9449","9.1799","0.0747","0.0111","0.0055","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"286","Mo Alie-Cox","IND","te","7","@JAX","2.3","2600","0","0","0","0","0","0","0","0","0","1.1374","0.7679","9.1864","0.0932","0.0075","0.0038","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"287","Lamical Perine","NYJ","rb","11","@BUF","1.8","4000","0","0","0","0","0","0","1.5633","6.4317","0.048","0.5788","0.447","3.3533","0.0057","0.018","0.009","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"288","John Ross","CIN","wr","9","LAC","3.9","4200","0","0","0","0","0","0","0.1995","1.229","0.0091","2.4438","1.284","16.6827","0.1202","0.0178","0.0089","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Jordan Reed","SF","te","11","ARZ","2.2","3000","0","0","0","0","0","0","0","0","0","1.1046","0.819","8.4369","0.0824","0.0095","0.0048","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"290","Foster Moreau","LV","te","6","@CAR","2.2","2500","0","0","0","0","0","0","0","0","0","1.124","0.7804","8.5634","0.0919","0.0077","0.0039","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"291","Adrian Peterson","DET","rb","5","CHI","1.7","4500","0","0","0","0","0","0","1.9795","7.6877","0.0604","0.3319","0.2669","2.1074","0.0099","0.022","0.011","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"292","Cole Kmet","CHI","te","11","@DET","2.1","3400","0","0","0","0","0","0","0","0","0","1.0988","0.7788","8.7687","0.0696","0.008","0.004","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Marcedes Lewis","GB","te","5","@MIN","2","3000","0","0","0","0","0","0","0","0","0","1.0289","0.7848","7.5367","0.078","0.0077","0.0039","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294","Ty Montgomery","NO","rb","6","TB","1.5","4000","0","0","0","0","0","0","0.4846","2.0573","0.012","0.718","0.5762","5.2548","0.0217","0.0097","0.0049","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Zach Pascal","IND","wr","7","@JAX","3.6","4200","0","0","0","0","0","0","0","0","0","2.2098","1.2867","16.4572","0.0991","0.0102","0.0051","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Jeremy Sprinkle","WAS","te","8","PHI","1.8","3500","0","0","0","0","0","0","0","0","0","0.9887","0.6909","7.0421","0.069","0.0087","0.0044","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","Kaden Smith","NYG","te","11","PIT","1.8","0","0","0","0","0","0","0","0","0","0","0.9552","0.6711","7.4261","0.0578","0.01","0.005","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"298","Wayne Gallman","NYG","rb","11","PIT","1.3","0","0","0","0","0","0","0","1.5929","5.9611","0.0373","0.3184","0.2556","1.9707","0.0074","0.0201","0.01","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Kalen Ballage","MIA","rb","11","@NE","1.3","4000","0","0","0","0","0","0","1.5373","5.6969","0.0497","0.2894","0.2259","1.4819","0.001","0.0127","0.0064","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","Denzel Mims","NYJ","wr","11","@BUF","3.4","4300","0","0","0","0","0","0","0","0","0","2.1994","1.2065","16.342","0.0899","0.0127","0.0063","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Dwayne Washington","NO","rb","6","TB","1.2","4000","0","0","0","0","0","0","0.9692","4.1056","0.023","0.359","0.2975","2.3948","0.0124","0.0109","0.0055","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Trayveon Williams","CIN","rb","9","LAC","1.2","4000","0","0","0","0","0","0","1.0639","4.5637","0.0363","0.3446","0.2773","2.1106","0.0069","0.012","0.006","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","Anthony McFarland Jr.","PIT","rb","8","@NYG","1.2","0","0","0","0","0","0","0","1.0672","4.5582","0.0318","0.2728","0.2184","1.7215","0.0061","0.0353","0.0176","0.0007","32.4694","0.0131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Virgil Green","LAC","te","10","@CIN","1.6","2800","0","0","0","0","0","0","0","0","0","0.8163","0.5816","6.0139","0.0681","0.0072","0.0036","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Jacob Hollister","SEA","te","6","@ATL","1.6","3000","0","0","0","0","0","0","0","0","0","0.8528","0.6332","6.0284","0.0568","0.0057","0.0028","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Senorise Perry","TEN","rb","7","@DEN","1.1","0","0","0","0","0","0","0","1.4719","5.7375","0.0394","0.1422","0.1124","0.8514","0.0036","0.0349","0.0175","0.0018","27.987","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"307","T.J. Yeldon","BUF","rb","11","NYJ","1.1","4000","0","0","0","0","0","0","1.6001","6.4671","0.0377","0.1455","0.115","0.9232","0.0021","0.0179","0.009","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
