"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"179","Larry Fitzgerald","ARZ","wr","8","@SF","7.8","4500","0","0","0","0","0","0","0","0","0","4.737","3.2631","32.5697","0.1921","0.0318","0.0159","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"180","Rex Burkhead","NE","rb","6","MIA","5.6","4000","0","0","0","0","0","0","3.6205","14.26","0.1326","1.9682","1.5892","13.9947","0.0579","0.0565","0.0282","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","Sammy Watkins","KC","wr","10","HST","7.7","0","0","0","0","0","0","0","0.1755","1.0661","0.0092","3.9805","2.5731","33.6165","0.2451","0.0438","0.0219","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"182","Randall Cobb","HST","wr","8","@KC","7.6","0","0","0","0","0","0","0","0.1781","0.9524","0.0057","3.9954","2.7711","34.3393","0.1959","0.0471","0.0236","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"183","Justin Jefferson","MIN","wr","7","GB","7.6","4800","0","0","0","0","0","0","0","0","0","4.2328","2.7397","35.4382","0.2069","0.0287","0.0144","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"184","Gerald Everett","LA","te","9","DAL","5.9","0","0","0","0","0","0","0","0","0","0","3.0658","2.2312","24.6198","0.1947","0.0181","0.0091","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","Derek Carr","LV","qb","6","@CAR","15.5","5900","20.5927","32.618","219.8266","1.4937","0.6603","2.2875","1.2502","2.4426","0.1061","0","0","0","0","0.3986","0.1993","0.0556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"186","Nick Boyle","BLT","te","8","CLV","5.8","3300","0","0","0","0","0","0","0","0","0","3.2622","2.3313","21.6574","0.2088","0.0205","0.0102","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"187","Dontrelle Inman","WAS","wr","8","PHI","7.4","3400","0","0","0","0","0","0","0","0","0","4.0748","2.628","34.4294","0.2136","0.0241","0.012","0.0068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"188","Greg Olsen","SEA","te","6","@ATL","5.7","4000","0","0","0","0","0","0","0","0","0","2.8428","2.0093","23.2466","0.2163","0.0162","0.0081","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","A.J. Dillon","GB","rb","5","@MIN","5.2","4400","0","0","0","0","0","0","4.4865","18.0297","0.1074","1.6805","1.3563","10.7251","0.0485","0.0523","0.0262","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","Alshon Jeffery","PHI","wr","9","@WAS","7.3","5400","0","0","0","0","0","0","0","0","0","4.0549","2.6394","32.5564","0.2151","0.0262","0.0131","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
