CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,K,Daniel Carlson (19490490),Daniel Carlson,19490490,FLEX,3800,LV@LAC 10/04/2021 08:15PM ET,LV,13.67
,,,,,,,WR,Jalen Guyton (19490443),Jalen Guyton,19490443,CPT,3600,LV@LAC 10/04/2021 08:15PM ET,LAC,4.13
,,,,,,,DST,Chargers  (19490491),Chargers ,19490491,FLEX,3200,LV@LAC 10/04/2021 08:15PM ET,LAC,6.33
,,,,,,,DST,Raiders  (19490492),Raiders ,19490492,FLEX,2800,LV@LAC 10/04/2021 08:15PM ET,LV,5.33
,,,,,,,WR,Zay Jones (19490444),Zay Jones,19490444,CPT,2700,LV@LAC 10/04/2021 08:15PM ET,LV,5.03
,,,,,,,WR,Jalen Guyton (19490493),Jalen Guyton,19490493,FLEX,2400,LV@LAC 10/04/2021 08:15PM ET,LAC,4.13
,,,,,,,RB,Alec Ingold (19490445),Alec Ingold,19490445,CPT,2400,LV@LAC 10/04/2021 08:15PM ET,LV,4.43
,,,,,,,TE,Foster Moreau (19490446),Foster Moreau,19490446,CPT,2100,LV@LAC 10/04/2021 08:15PM ET,LV,4.4
,,,,,,,WR,Zay Jones (19490494),Zay Jones,19490494,FLEX,1800,LV@LAC 10/04/2021 08:15PM ET,LV,5.03
,,,,,,,TE,Donald Parham Jr. (19490447),Donald Parham Jr.,19490447,CPT,1800,LV@LAC 10/04/2021 08:15PM ET,LAC,0.97
,,,,,,,RB,Alec Ingold (19490495),Alec Ingold,19490495,FLEX,1600,LV@LAC 10/04/2021 08:15PM ET,LV,4.43
,,,,,,,RB,Larry Rountree III (19490448),Larry Rountree III,19490448,CPT,1500,LV@LAC 10/04/2021 08:15PM ET,LAC,1.27
,,,,,,,TE,Foster Moreau (19490496),Foster Moreau,19490496,FLEX,1400,LV@LAC 10/04/2021 08:15PM ET,LV,4.4
,,,,,,,TE,Donald Parham Jr. (19490497),Donald Parham Jr.,19490497,FLEX,1200,LV@LAC 10/04/2021 08:15PM ET,LAC,0.97
,,,,,,,RB,Gabe Nabers (19490449),Gabe Nabers,19490449,CPT,1200,LV@LAC 10/04/2021 08:15PM ET,LAC,1.1
,,,,,,,RB,Larry Rountree III (19490498),Larry Rountree III,19490498,FLEX,1000,LV@LAC 10/04/2021 08:15PM ET,LAC,1.27
,,,,,,,TE,Matt Bushman (19490450),Matt Bushman,19490450,CPT,900,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Gabe Nabers (19490499),Gabe Nabers,19490499,FLEX,800,LV@LAC 10/04/2021 08:15PM ET,LAC,1.1
,,,,,,,TE,Matt Bushman (19490500),Matt Bushman,19490500,FLEX,600,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,WR,Joshua Palmer (19490451),Joshua Palmer,19490451,CPT,600,LV@LAC 10/04/2021 08:15PM ET,LAC,2.27
,,,,,,,WR,Joshua Palmer (19490501),Joshua Palmer,19490501,FLEX,400,LV@LAC 10/04/2021 08:15PM ET,LAC,2.27
,,,,,,,RB,Jalen Richard (19490452),Jalen Richard,19490452,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,WR,DJ Turner (19490453),DJ Turner,19490453,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,TE,Nick Bowers (19490454),Nick Bowers,19490454,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Trey Ragas (19490455),Trey Ragas,19490455,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Justin Jackson (19490456),Justin Jackson,19490456,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,1.87
,,,,,,,TE,Derek Carrier (19490457),Derek Carrier,19490457,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,1.1
,,,,,,,WR,Willie Snead IV (19490458),Willie Snead IV,19490458,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0.8
,,,,,,,WR,K.J. Hill (19490459),K.J. Hill,19490459,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,2
,,,,,,,TE,Stephen Anderson (19490460),Stephen Anderson,19490460,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,1.33
,,,,,,,WR,Austin Proehl (19490461),Austin Proehl,19490461,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,RB,Darius Bradwell (19490462),Darius Bradwell,19490462,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Jason Moore Jr. (19490463),Jason Moore Jr.,19490463,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,TE,Hunter Kampmoyer (19490464),Hunter Kampmoyer,19490464,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Michael Bandy (19490465),Michael Bandy,19490465,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,TE,Tre' McKitty (19490466),Tre' McKitty,19490466,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,RB,Joshua Kelley (19490467),Joshua Kelley,19490467,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Maurice Ffrench (19490468),Maurice Ffrench,19490468,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Dillon Stoner (19490469),Dillon Stoner,19490469,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,WR,Javon Wims (19490470),Javon Wims,19490470,CPT,300,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Jalen Richard (19490502),Jalen Richard,19490502,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,WR,DJ Turner (19490503),DJ Turner,19490503,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,TE,Nick Bowers (19490504),Nick Bowers,19490504,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Trey Ragas (19490505),Trey Ragas,19490505,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,RB,Justin Jackson (19490506),Justin Jackson,19490506,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,1.87
,,,,,,,TE,Derek Carrier (19490507),Derek Carrier,19490507,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,1.1
,,,,,,,WR,Willie Snead IV (19490508),Willie Snead IV,19490508,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0.8
,,,,,,,WR,K.J. Hill (19490509),K.J. Hill,19490509,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,2
,,,,,,,TE,Stephen Anderson (19490510),Stephen Anderson,19490510,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,1.33
,,,,,,,WR,Austin Proehl (19490511),Austin Proehl,19490511,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,RB,Darius Bradwell (19490512),Darius Bradwell,19490512,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Jason Moore Jr. (19490513),Jason Moore Jr.,19490513,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,TE,Hunter Kampmoyer (19490514),Hunter Kampmoyer,19490514,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Michael Bandy (19490515),Michael Bandy,19490515,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,TE,Tre' McKitty (19490516),Tre' McKitty,19490516,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,RB,Joshua Kelley (19490517),Joshua Kelley,19490517,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Maurice Ffrench (19490518),Maurice Ffrench,19490518,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,WR,Dillon Stoner (19490519),Dillon Stoner,19490519,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,WR,Javon Wims (19490520),Javon Wims,19490520,FLEX,200,LV@LAC 10/04/2021 08:15PM ET,LV,0
